A/C,RH,UT,OT,RH_UT,RH_OT,N,UT_OT
wheat NR,0.293436293,0.301158301,0.215250965,0.05019305,0.057915058,0.043436293,0.038610039
coconut MR,0.215686275,0.392156863,0.078431373,0.137254902,0.058823529,0,0.117647059
coconut HR,0,0.75,0,0,0,0.25,0
coconut LR,0.26,0.38,0.173333333,0.046666667,0.066666667,0.033333333,0.04
coconut KR,0.304812834,0.286096257,0.171122995,0.045454545,0.053475936,0.106951872,0.032085561
coconut NR,0.267772512,0.312796209,0.222748815,0.048578199,0.067535545,0.037914692,0.042654028
oil MR,0.068965517,0.413793103,0.310344828,0.068965517,0.068965517,0,0.068965517
oil HR,0.125,0.5,0.375,0,0,0,0
oil LR,0.13253012,0.445783133,0.253012048,0.048192771,0,0.024096386,0.096385542
oil KR,0.310797175,0.300706357,0.201816347,0.050454087,0.050454087,0.064581231,0.021190716
oil NR,0.217948718,0.320512821,0.157051282,0.051282051,0.121794872,0.038461538,0.092948718
garlic MR,0.181818182,0.484848485,0.121212121,0.03030303,0.121212121,0,0.060606061
garlic HR,0,0.285714286,0.285714286,0,0.285714286,0,0.142857143
garlic LR,0.263636364,0.318181818,0.254545455,0.045454545,0.045454545,0.018181818,0.054545455
garlic KR,0.268027211,0.285714286,0.213605442,0.068027211,0.05170068,0.072108844,0.040816327
garlic NR,0.293680297,0.349442379,0.169144981,0.029739777,0.076208178,0.042750929,0.039033457
ginger MR,0.157894737,0.394736842,0.263157895,0.026315789,0.026315789,0.026315789,0.105263158
ginger HR,0,0.833333333,0.166666667,0,0,0,0
ginger LR,0.255555556,0.422222222,0.177777778,0.044444444,0.066666667,0.022222222,0.011111111
ginger KR,0.278137128,0.275549806,0.217335058,0.06080207,0.056921087,0.075032342,0.03622251
ginger NR,0.282945736,0.348837209,0.168604651,0.03875969,0.075581395,0.032945736,0.052325581
pepper NR,0.195652174,0.362318841,0.188405797,0.050724638,0.108695652,0.036231884,0.057971014
pepper KR,0.28125,0.310096154,0.201923077,0.050480769,0.05849359,0.05849359,0.039262821
pepper MR,0.166666667,0.333333333,0.166666667,0,0,0,0.333333333
pepper LR,0.35483871,0.387096774,0.096774194,0.064516129,0.064516129,0,0.032258065
tamarind MR,0.116666667,0.266666667,0.283333333,0.033333333,0.166666667,0.05,0.083333333
tamarind HR,0.142857143,0.571428571,0.214285714,0,0.071428571,0,0
tamarind LR,0.221556886,0.347305389,0.203592814,0.077844311,0.05988024,0.02994012,0.05988024
tamarind KR,0.308533917,0.27571116,0.2297593,0.039387309,0.026258206,0.100656455,0.019693654
tamarind NR,0.28,0.335172414,0.169655172,0.053793103,0.07862069,0.033103448,0.049655172
aginomoto MR,0.222222222,0.416666667,0.138888889,0.055555556,0.055555556,0.027777778,0.083333333
aginomoto HR,0,0.333333333,0,0.333333333,0.333333333,0,0
aginomoto LR,0.241935484,0.370967742,0.161290323,0.048387097,0.096774194,0.016129032,0.064516129
aginomoto KR,0.279761905,0.306547619,0.216269841,0.04265873,0.057539683,0.066468254,0.030753968
aginomoto NR,0.270700637,0.328025478,0.156050955,0.073248408,0.073248408,0.02866242,0.070063694
spices MR,0.285714286,0.571428571,0,0,0,0,0.142857143
spices HR,0.5,0.5,0,0,0,0,0
spices LR,0.178571429,0.464285714,0.071428571,0,0.142857143,0.071428571,0.071428571
spices KR,0.28202995,0.311980033,0.207154742,0.045757072,0.056572379,0.06156406,0.034941764
spices NR,0.233695652,0.315217391,0.168478261,0.092391304,0.097826087,0.010869565,0.081521739
coco MR,0.285714286,0.285714286,0.428571429,0,0,0,0
coco HR,0.5,0,0.25,0,0.25,0,0
coco LR,0.266666667,0.6,0,0.066666667,0,0,0.066666667
coco KR,0.278219396,0.321939587,0.19872814,0.046899841,0.058823529,0.060413355,0.034976153
coco NR,0.230215827,0.251798561,0.201438849,0.086330935,0.107913669,0.014388489,0.107913669
horlicks KR,0.274068869,0.316936051,0.198172874,0.05059733,0.063246662,0.054813774,0.042164441
boost NR,1,0,0,0,0,0,0
boost KR,0.273558368,0.317158931,0.198312236,0.050632911,0.063291139,0.054852321,0.042194093
sdrink NR,0.208955224,0.358208955,0.074626866,0.089552239,0.119402985,0.044776119,0.104477612
sdrink KR,0.278810409,0.316728625,0.203717472,0.048327138,0.060223048,0.055018587,0.037174721
sdrink MR,0.333333333,0,0.333333333,0,0,0,0.333333333
sdrink LR,0,0.125,0.25,0.125,0.125,0.125,0.25
hdrink NR,0.196969697,0.348484848,0.060606061,0.106060606,0.121212121,0.045454545,0.121212121
hdrink KR,0.279225614,0.314966493,0.20476545,0.048399106,0.060312733,0.055100521,0.037230082
hdrink MR,0.25,0.25,0.25,0,0,0,0.25
hdrink LR,0.1,0.4,0.2,0,0.1,0.1,0.1
sfruit MR,0.144067797,0.381355932,0.144067797,0.13559322,0.093220339,0.025423729,0.076271186
sfruit HR,0.166666667,0.277777778,0.111111111,0.138888889,0.166666667,0.055555556,0.083333333
sfruit LR,0.231770833,0.317708333,0.1640625,0.0546875,0.09375,0.057291667,0.080729167
sfruit KR,0.321909425,0.314565483,0.222766218,0.025703794,0.041615667,0.06119951,0.012239902
sfruit NR,0.220588235,0.25,0.235294118,0.132352941,0.044117647,0.014705882,0.102941176
wfruit MR,0.17,0.33,0.09,0.15,0.14,0,0.12
wfruit HR,0.157894737,0.473684211,0.105263158,0,0.105263158,0.052631579,0.105263158
wfruit LR,0.202185792,0.327868852,0.174863388,0.073770492,0.084699454,0.06010929,0.076502732
wfruit KR,0.326627219,0.307692308,0.222485207,0.026035503,0.043786982,0.06035503,0.013017751
wfruit NR,0.215053763,0.311827957,0.204301075,0.086021505,0.064516129,0.043010753,0.075268817
lime MR,0.333333333,0.222222222,0.222222222,0,0,0,0.222222222
lime HR,0.333333333,0.666666667,0,0,0,0,0
lime LR,0.136363636,0.363636364,0.181818182,0.075757576,0.151515152,0.03030303,0.060606061
lime KR,0.289559543,0.305872757,0.201468189,0.052202284,0.056280587,0.057911909,0.036704731
lime NR,0.18487395,0.403361345,0.176470588,0.025210084,0.092436975,0.042016807,0.075630252
nuts MR,0.229166667,0.302083333,0.145833333,0.104166667,0.125,0.041666667,0.052083333
nuts HR,0.34375,0.34375,0.09375,0.09375,0.0625,0.03125,0.03125
nuts LR,0.183544304,0.373417722,0.139240506,0.082278481,0.088607595,0.03164557,0.101265823
nuts KR,0.305775764,0.320498301,0.218573046,0.031710079,0.039637599,0.058890147,0.024915062
nuts NR,0.228346457,0.271653543,0.196850394,0.070866142,0.106299213,0.062992126,0.062992126
runningnose YES,0.643145161,0.012096774,0.056451613,0.120967742,0.14516129,0.016129032,0.006048387
runningnose NO,0.076591154,0.48004315,0.274002157,0.012944984,0.019417476,0.075512406,0.061488673
sneeze YES,0.632142857,0.019642857,0.080357143,0.1125,0.133928571,0.014285714,0.007142857
sneeze NO,0.041714948,0.509849363,0.274623407,0.010428737,0.017381228,0.081112399,0.064889919
cough YES,0.582809224,0.012578616,0.178197065,0.083857442,0.119496855,0.012578616,0.01048218
cough NO,0.118393235,0.470401691,0.208245243,0.033826638,0.034883721,0.076109937,0.058139535
wheezeBlocks YES,0.544354839,0.026209677,0.183467742,0.092741935,0.131048387,0.008064516,0.014112903
wheezeBlocks NO,0.129449838,0.472491909,0.206040992,0.028047465,0.026968716,0.0798274,0.057173679
headache YES,0.454183267,0.043824701,0.151394422,0.131474104,0.19123506,0.023904382,0.003984064
headache NO,0.235494881,0.375426621,0.208191126,0.033276451,0.035836177,0.061433447,0.050341297
itching YES,0.008534851,0.624466572,0.166429587,0.096728307,0.0056899,0.015647226,0.082503556
itching NO,0.533333333,0.016666667,0.229166667,0.005555556,0.119444444,0.093055556,0.002777778
swelling YES,0.007159905,0.720763723,0.069212411,0.116945107,0,0.023866348,0.062052506
swelling NO,0.385458167,0.148406375,0.251992032,0.022908367,0.089641434,0.067729084,0.033864542
redrashes YES,0.010723861,0.721179625,0.053619303,0.128686327,0,0.024128686,0.061662198
redrashes NO,0.367619048,0.173333333,0.24952381,0.022857143,0.085714286,0.065714286,0.035238095
FHistory YES,0.230661041,0.285513361,0.225035162,0.080168776,0.111111111,0.012658228,0.054852321
FHistory NO,0.31741573,0.348314607,0.171348315,0.021067416,0.015449438,0.096910112,0.029494382
gender ?,0,0.5,0.5,0,0,0,0
gender F,0.22781457,0.349668874,0.198675497,0.063576159,0.064900662,0.052980132,0.042384106
gender M,0.327327327,0.279279279,0.196696697,0.036036036,0.061561562,0.057057057,0.042042042
