A/C,UT,RH_OT,UT_OT,N,RH_UT,RH,OT
sneeze NO,0.5,0.030120482,0.110843373,0.085542169,0.018072289,0.039759036,0.215662651
cough YES,0.014084507,0.185110664,0.026156942,0.016096579,0.146881288,0.492957746,0.118712274
cough NO,0.449838188,0.051779935,0.093851133,0.075512406,0.050701187,0.111111111,0.167206041
wheezeBlocks YES,0.015810277,0.177865613,0.029644269,0.007905138,0.158102767,0.472332016,0.138339921
wheezeBlocks NO,0.453159041,0.054466231,0.092592593,0.080610022,0.043572985,0.118736383,0.156862745
headache YES,0.034351145,0.259541985,0.003816794,0.019083969,0.217557252,0.374045802,0.091603053
headache NO,0.357142857,0.061962134,0.085197935,0.062822719,0.054216867,0.215146299,0.163511188
itching NO,0.01884058,0.197101449,0.008695652,0.092753623,0.008695652,0.498550725,0.175362319
itching YES,0.559945504,0.005449591,0.128065395,0.019073569,0.155313351,0.005449591,0.126702997
swelling NO,0.154162384,0.143884892,0.047276465,0.068859198,0.034943474,0.355601233,0.195272354
swelling YES,0.607538803,0,0.119733925,0.024390244,0.190687361,0.00443459,0.053215078
redrashes NO,0.167818361,0.138203356,0.060217177,0.065153011,0.032576505,0.340572557,0.195459033
redrashes YES,0.618004866,0,0.094890511,0.02919708,0.211678832,0.00729927,0.03892944
FHistory YES,0.25498008,0.164674635,0.088977424,0.007968127,0.131474104,0.193891102,0.158034529
FHistory NO,0.345752608,0.023845007,0.049180328,0.107302534,0.031296572,0.301043219,0.141579732
gender ?,0.5,0,0,0,0,0,0.5
gender F,0.333333333,0.098666667,0.064,0.046666667,0.106666667,0.204,0.146666667
gender M,0.257440476,0.098214286,0.077380952,0.063988095,0.05952381,0.290178571,0.15327381
