A/C,RH_UT,N,RH,UT_OT,RH_OT,OT,UT
tamarind HR,0,0,0.125,0,0.0625,0.125,0.6875
tamarind LR,0.076470588,0.011764706,0.217647059,0.058823529,0.058823529,0.158823529,0.417647059
aginomoto NR,0.070987654,0.027777778,0.259259259,0.067901235,0.070987654,0.132716049,0.37037037
aginomoto KR,0.043303122,0.045317221,0.281973817,0.03121853,0.058408862,0.170191339,0.36958711
aginomoto MR,0.054054054,0.027027027,0.216216216,0.081081081,0.054054054,0.135135135,0.432432432
aginomoto HR,0.25,0,0,0,0.25,0,0.5
aginomoto LR,0.046875,0.015625,0.234375,0.0625,0.09375,0.140625,0.40625
spices NR,0.089005236,0.010471204,0.22513089,0.078534031,0.094240838,0.146596859,0.356020942
spices KR,0.046102263,0.044425817,0.281642917,0.035205365,0.056999162,0.164291702,0.371332775
spices MR,0,0,0.25,0.125,0,0,0.625
spices HR,0,0,0.5,0,0,0,0.5
spices LR,0,0.035714286,0.178571429,0.071428571,0.142857143,0.071428571,0.5
coco NR,0.088235294,0.014705882,0.227941176,0.110294118,0.110294118,0.154411765,0.294117647
coco KR,0.046788263,0.042823156,0.275971451,0.034892942,0.058683584,0.160190325,0.380650278
coco MR,0,0,0.333333333,0,0,0.333333333,0.333333333
coco HR,0,0,0.5,0,0.25,0.25,0
coco LR,0.066666667,0,0.266666667,0.066666667,0,0,0.6
horlicks KR,0.050632911,0.039381153,0.272151899,0.042194093,0.063291139,0.158931083,0.373417722
boost NR,0,0,1,0,0,0,0
boost KR,0.050668543,0.039408867,0.27163969,0.042223786,0.063335679,0.159042928,0.373680507
sdrink LR,0.111111111,0.111111111,0,0.222222222,0.111111111,0.222222222,0.222222222
sdrink NR,0.082191781,0.04109589,0.191780822,0.095890411,0.109589041,0.054794521,0.424657534
sdrink KR,0.048616305,0.038893044,0.278234854,0.037397158,0.060583396,0.163799551,0.372475692
sdrink MR,0,0,0.333333333,0.333333333,0,0.333333333,0
hdrink LR,0,0.1,0.1,0.1,0.1,0.2,0.4
hdrink NR,0.095890411,0.04109589,0.178082192,0.109589041,0.109589041,0.054794521,0.410958904
hdrink KR,0.048689139,0.038951311,0.278651685,0.037453184,0.060674157,0.164044944,0.371535581
hdrink MR,0,0,0.25,0.25,0,0.25,0.25
sfruit NR,0.130434783,0.014492754,0.217391304,0.101449275,0.043478261,0.188405797,0.304347826
sfruit KR,0.026348808,0.042659975,0.327478043,0.012547051,0.042659975,0.176913425,0.371392723
sfruit MR,0.133333333,0.016666667,0.141666667,0.075,0.091666667,0.108333333,0.433333333
sfruit HR,0.135135135,0.054054054,0.162162162,0.081081081,0.162162162,0.081081081,0.324324324
sfruit LR,0.052631579,0.042606516,0.220551378,0.077694236,0.090225564,0.140350877,0.37593985
wfruit NR,0.08988764,0.02247191,0.224719101,0.078651685,0.06741573,0.157303371,0.359550562
wfruit KR,0.026634383,0.043583535,0.330508475,0.013317191,0.044794189,0.17433414,0.366828087
wfruit MR,0.144230769,0,0.163461538,0.115384615,0.134615385,0.076923077,0.365384615
wfruit HR,0,0.045454545,0.136363636,0.090909091,0.090909091,0.090909091,0.545454545
wfruit LR,0.070866142,0.044619423,0.194225722,0.073490814,0.081364829,0.152230971,0.3832021
lime NR,0.025423729,0.033898305,0.186440678,0.076271186,0.093220339,0.161016949,0.423728814
lime KR,0.052459016,0.040983607,0.28852459,0.036885246,0.056557377,0.159836066,0.364754098
lime MR,0,0,0.375,0.25,0,0.125,0.25
lime HR,0,0,0.25,0,0,0,0.75
lime LR,0.069444444,0.027777778,0.125,0.055555556,0.138888889,0.152777778,0.430555556
nuts NR,0.070588235,0.039215686,0.223529412,0.062745098,0.105882353,0.164705882,0.333333333
nuts KR,0.032407407,0.042824074,0.310185185,0.025462963,0.040509259,0.172453704,0.376157407
nuts MR,0.101010101,0.03030303,0.222222222,0.050505051,0.121212121,0.131313131,0.343434343
nuts HR,0.090909091,0.03030303,0.333333333,0.03030303,0.060606061,0.090909091,0.363636364
nuts LR,0.076023392,0.029239766,0.169590643,0.093567251,0.081871345,0.111111111,0.438596491
runningnose YES,0.12295082,0.010245902,0.647540984,0.006147541,0.147540984,0.047131148,0.018442623
runningnose NO,0.012847966,0.054603854,0.076017131,0.061027837,0.019271949,0.217344754,0.55888651
sneeze YES,0.114963504,0.009124088,0.640510949,0.00729927,0.136861314,0.069343066,0.02189781
sneeze NO,0.010297483,0.058352403,0.041189931,0.064073227,0.017162471,0.215102975,0.59382151
cough YES,0.088495575,0.008849558,0.60840708,0.011061947,0.126106195,0.14159292,0.015486726
cough NO,0.032989691,0.053608247,0.115463918,0.056701031,0.034020619,0.167010309,0.540206186
wheezeBlocks YES,0.096436059,0.006289308,0.559748428,0.014675052,0.136268344,0.157232704,0.029350105
wheezeBlocks NO,0.027513228,0.056084656,0.126984127,0.056084656,0.026455026,0.15978836,0.547089947
headache YES,0.139830508,0.016949153,0.474576271,0.004237288,0.203389831,0.110169492,0.050847458
headache NO,0.032883642,0.043844857,0.231871838,0.049747049,0.035413153,0.168634064,0.437605396
itching YES,0.089709763,0.011873351,0.007915567,0.07651715,0.005277045,0.126649077,0.682058047
itching NO,0.006024096,0.070783133,0.573795181,0.003012048,0.129518072,0.195783133,0.021084337
swelling YES,0.106060606,0.017316017,0.006493506,0.056277056,0,0.051948052,0.761904762
swelling NO,0.023958333,0.05,0.4,0.035416667,0.09375,0.210416667,0.186458333
redrashes YES,0.114832536,0.016746411,0.009569378,0.055023923,0,0.040669856,0.763157895
redrashes NO,0.023904382,0.048804781,0.381474104,0.03685259,0.089641434,0.208167331,0.211155378
FHistory YES,0.080508475,0.008474576,0.228813559,0.055084746,0.111581921,0.177966102,0.337570621
FHistory NO,0.021008403,0.070028011,0.31512605,0.029411765,0.015406162,0.140056022,0.408963585
gender F,0.063157895,0.036842105,0.225,0.042105263,0.064473684,0.155263158,0.413157895
gender ?,0,0,0,0,0,0.5,0.5
gender M,0.036363636,0.042424242,0.327272727,0.042424242,0.062121212,0.162121212,0.327272727
